s_m,x_m,y_m,curvature_1_m,track_width_m
152.0,-44.124538752150976,36.17360642279208,0.04684003856873665,12.0
154.0,-42.19358897784349,36.82306542020221,0.02741048352676584,12.0
156.0,-40.29938946943398,37.58344571750057,0.02127051019975649,12.0
158.0,-38.43601559789733,38.42724671347146,0.015209995189717251,12.0
160.0,-36.59680315148338,39.33017362736516,0.009278401157130314,12.0
162.0,-34.775087918442004,40.26793167843194,0.0034238731821088684,12.0
164.0,-32.96420568702306,41.21622608592208,-0.00246525848776979,12.0
166.0,-31.157492245476387,42.15076206908586,-0.008526313977381982,12.0
168.0,-29.348283382051864,43.04724484717354,-0.014889681912404498,12.0
170.0,-27.52991488499934,43.8813796394354,-0.021638570205199003,12.0
172.0,-25.69572254256867,44.62887166512173,-0.02875206297414498,12.0
174.0,-23.83904214300972,45.26542614348279,-0.03602933767846754,12.0
176.0,-21.953209474572347,45.76674829376886,-0.04301292997589298,12.0
178.0,-20.031560325506398,46.10854333523023,-0.048964541868722664,12.0
180.0,-18.068448841786125,46.26817113750258,-0.04633953491122999,12.0
182.0,-16.072931067983337,46.24687954357175,-0.03989906426568868,12.0
184.0,-14.065112700406917,46.06387011746658,-0.034664992183016996,12.0
186.0,-12.06536861836399,45.73878179776626,-0.030583913039168534,12.0
188.0,-10.096405379108555,45.27992084202793,-0.04470881069808269,12.0
190.0,-8.190324657066204,44.64993031224883,-0.059983266941223815,12.0
192.0,-6.3815941325417205,43.79995374496166,-0.07455174192499497,12.0
194.0,-4.706238807189312,42.68961047123776,-0.07429604898093523,12.0
196.0,-3.2107887073911594,41.335693914653305,-0.07555798918544275,12.0
198.0,-1.946071962732967,39.778637916884,-0.0765388601405815,12.0
200.0,-0.9222086241264785,38.06639988492178,-0.03987614354134485,12.0
202.0,-0.03323457973265617,36.268170989315536,-0.0032526152764903735,12.0
204.0,0.8363934102818131,34.45208893078262,-0.0132722414655822,12.0
206.0,1.651102449214337,32.62000028471852,-0.05248838699767259,12.0
208.0,2.265387537276855,30.725536577958845,-0.08454730736403218,12.0
210.0,2.576581827916592,28.746869708682354,-0.07052026720627921,12.0
212.0,2.6039261229344994,26.73111012979289,-0.06022549206000265,12.0
214.0,2.3873154650965596,24.734861070894958,-0.0503345285438149,12.0
216.0,1.9733702171060823,22.778592046986414,-0.03679520858587388,12.0
218.0,1.414471767639029,20.851258851958733,-0.029359032096228657,12.0
220.0,0.7280626406248916,18.961386210793368,-0.05363276574480596,12.0
222.0,-0.15259006409673023,17.166926830517752,-0.07957254031843847,12.0
224.0,-1.2935300724716725,15.527052619282612,-0.07255915366181433,12.0
226.0,-2.6708415000728567,14.059320648542887,-0.05996706781583835,12.0
228.0,-4.2226474175003785,12.76372741250339,-0.05026029450770722,12.0
230.0,-5.888621097431029,11.637835880172906,-0.03915682323709701,12.0
232.0,-7.628636487941242,10.650763013377189,-0.025234294955823307,12.0
234.0,-9.4159020360504,9.75284851797362,-0.011055173868724639,12.0
236.0,-11.225356281153474,8.896976507055058,-0.006867883871900233,12.0
238.0,-13.047438454257552,8.065883254607675,-0.006978083239395507,12.0
240.0,-14.881768141188624,7.259985112124473,-0.007090939758869173,12.0
242.0,-16.728084976528084,6.479929628186353,-0.0072062849147314055,12.0
244.0,-18.586128594857314,5.726364351374215,-0.007323930978635422,12.0
246.0,-20.455638630757704,4.999936830268961,-0.007443669569096345,12.0
248.0,-22.33635471881065,4.301294613451488,-0.007565270259915348,12.0
250.0,-24.228016493597522,3.6310852495026986,-0.007688479261705927,12.0
252.0,-26.130363589699726,2.989956287003492,-0.00781301820422254,12.0
254.0,-28.043135641698644,2.3785552745347687,-0.007938583050578134,12.0
256.0,-29.966072284175656,1.7975297606774265,-0.008064843177700834,12.0
258.0,-31.89891315171217,1.247527294012369,-0.008191440660392868,12.0
260.0,-33.841397878889545,0.7291954231204947,-0.008317989798966093,12.0
262.0,-35.79326610028918,0.24318169658270206,-0.00844407693246618,12.0
264.0,-37.75425745049249,-0.20986633702010576,-0.008569260580770593,12.0
266.0,-39.72411156408083,-0.6293011291070301,-0.008693071959148275,12.0
268.0,-41.7025680756356,-1.0144751310971731,-0.008815015907989119,12.0
270.0,-43.68936661973818,-1.36474079440963,-0.008934572278136,12.0
272.0,-45.68424683096997,-1.679450570463506,-0.00905119780838306,12.0
274.0,-47.68694834391235,-1.957956910677896,-0.009164328526066457,12.0
276.0,-49.6972107931467,-2.1996122664719024,-0.009273382694137964,12.0
278.0,-51.71477381325443,-2.4037690892646246,-0.009377764318602806,12.0
280.0,-53.73937703881692,-2.569779830475163,-0.009476867218724575,12.0
282.0,-55.770760104415544,-2.6969969415226185,-0.009570079649046949,12.0
284.0,-57.8086626446317,-2.7847728738260917,-0.009656789447255634,12.0
286.0,-59.84924848731405,-2.821413220315276,-0.03820130186758097,12.0
288.0,-61.85786612543882,-2.700024736543523,-0.08101689685236191,12.0
290.0,-63.7841383692395,-2.265170812539668,-0.11645256332288788,12.0
292.0,-65.58765079631463,-1.4258004985813968,-0.08330590822533254,12.0
294.0,-67.25654414329368,-0.2741988634138422,-0.05647562557849565,12.0
296.0,-68.78507327739808,1.0675416019166177,-0.04096151044291001,12.0
298.0,-70.18840264568836,2.5230966909912813,-0.029513482103344875,12.0
300.0,-71.50045056175375,4.05719191277379,-0.017725647141997748,12.0
302.0,-72.7557999976377,5.6360076250359805,-0.005944646307104483,12.0
304.0,-73.98903392538355,7.225724185549688,0.005934219500890658,12.0
306.0,-75.23473531703473,8.792521952086751,0.018174889137108855,12.0
308.0,-76.5274871446346,10.302581282419004,0.03089753576953341,12.0
310.0,-77.9018723802266,11.722082534318282,0.04372077852751839,12.0
312.0,-79.39229819427432,13.017407537412112,0.04684749540436223,12.0
314.0,-81.00329717368759,14.189174945560175,0.019035509216414052,12.0
316.0,-82.67605815856335,15.310596515783962,-0.007227842323227498,12.0
318.0,-84.36506963981438,16.422087288711346,0.037037275771240476,12.0
320.0,-86.11206122986135,17.392448310487744,0.0858183166647815,12.0
322.0,-87.97759233289872,18.053781750322145,0.09155290141996085,12.0
324.0,-89.9562978150945,18.3744576800325,0.06175919245541849,12.0
326.0,-91.98326711318698,18.44592827384063,0.037295390307410574,12.0
328.0,-93.99906889299949,18.354145367946746,0.03375852165626906,12.0
330.0,-95.98823501170828,18.12780203694863,0.03230288895755833,12.0
332.0,-97.95103219437034,17.775097869391246,0.03046948949898362,12.0
334.0,-99.88774710774787,17.30420648124323,0.028379566395963955,12.0
336.0,-101.79866641860305,16.723301488473226,0.026145003881682893,12.0
338.0,-103.6840767936981,16.040556507049853,0.023859208385349686,12.0
340.0,-105.54426489979517,15.264145152941762,0.021593345610497184,12.0
342.0,-107.37951740365648,14.402241042117582,0.019396608920999824,12.0
344.0,-109.19012097204418,13.463017790545951,0.01729888276806468,12.0
346.0,-110.97636227172053,12.454649014195502,0.015314402574914001,12.0
348.0,-112.73852796944766,11.385308329034867,0.013445456842314794,12.0
350.0,-114.47690473198777,10.263169351032696,0.011685603265294628,12.0
352.0,-116.19177922610307,9.096405696157614,0.010022183179430672,12.0
354.0,-117.88343811855573,7.893190980378256,0.008438107213319543,12.0
356.0,-119.55216807610796,6.661698819663263,0.006912976338152581,12.0
358.0,-121.1982557655219,5.410102829981269,0.005423630396283793,12.0
360.0,-122.82198785355982,4.146576627300905,0.003944208304629308,12.0
362.0,-124.42365100698382,2.879293827590816,0.0024457789006062484,12.0
364.0,-125.9852092388331,1.597506515838622,0.04725254444297713,12.0
366.0,-127.39621142944152,0.19503104905159557,0.09840912168796466,12.0
368.0,-128.53619672349362,-1.4375184506095027,0.08721528892389932,12.0
370.0,-129.3848901654228,-3.2685627280222644,0.07350911643334068,12.0
372.0,-129.95212714667454,-5.220965478346929,0.07496135936112207,12.0
374.0,-130.21304381377442,-7.225329812569841,0.08762017619229351,12.0
376.0,-130.11867126519252,-9.21765081444729,0.10419786451945273,12.0
378.0,-129.64160672681757,-11.144356684934886,0.08288391907455048,12.0
380.0,-128.84174737466026,-12.992748245181497,0.06071198292879087,12.0
382.0,-127.80016953134215,-14.759639017989574,0.05614931899887344,12.0
384.0,-126.55267118375349,-16.377310086955035,0.10261616290330323,12.0
386.0,-125.05001508673693,-17.65684702674256,0.16391196879721853,12.0
388.0,-123.26335593667196,-18.463628179834135,0.09063438459928089,12.0
390.0,-121.2903902816061,-18.95062999362763,0.023375889274301575,12.0
392.0,-119.25835501698401,-19.340068325146767,-0.0017162278292717672,12.0
394.0,-117.2259446613031,-19.733707230943946,-0.001429800902336278,12.0
396.0,-115.19495038495363,-20.133312507112574,-0.001144015558625678,12.0
398.0,-113.16543911278296,-20.53761987224397,-0.0008585242475428871,12.0
