s_m,x_m,y_m,curvature_1_m,track_width_m
334,272.51466603490115,-5.0939063847591557,-3.0114799542959075E-15,4.5
336,274.45525748745308,-5.5777501759584815,4.5241588253479728E-15,4.5
338,276.39584894000501,-6.0615939671577888,-1.5126788710518665E-15,4.5
340,278.33644039255699,-6.5454377583571164,-2.5673907444459336E-15,4.5
342,280.27703184510887,-7.0292815495564263,2.9976021664882264E-15,4.5
344,282.21762329766085,-7.5131253407557521,-6.5225602696728933E-16,4.5
346,284.15821475021284,-7.9969691319550806,1.0824674490095444E-15,4.5
348,286.09880620276482,-8.4808129231544047,-1.0824674490095444E-15,4.5
350,288.0393976553168,-8.9646567143537332,-3.0114799542959067E-15,4.5
352,289.97998910786873,-9.44850050555306,4.3159920082307323E-15,4.5
354,291.92058056042066,-9.932344296752369,-1.3045120539346938E-15,4.5
356,293.86117201297259,-10.416188087951683,1.7069679003612801E-15,4.5
358,295.80176346552457,-10.900031879151005,-3.8580250105728134E-15,4.5
360,297.74235491807644,-11.383875670350314,2.5673907444459344E-15,4.5
362,299.68294637062843,-11.86771946154964,0,4.5
364,301.62353782318041,-12.351563252748967,4.3021142204225491E-16,4.5
366,303.5641292757324,-12.835407043948292,-4.3021142204227254E-15,4.5
368,305.50472072828433,-13.319250835147621,3.0114799542959047E-15,4.5
370,307.44531218083631,-13.803094626346951,3.4555691641460084E-15,4.5
372,309.38590363338824,-14.286938417546253,0.0004517241556691054,4.5
374,311.32692810107648,-14.769027964226789,0.011053023602271939,4.5
376,313.27798032292452,-15.208061078080071,0.035245198790443001,4.5
378,315.2545334321689,-15.508502511371438,0.066655562445431624,4.5
380,317.25167282867085,-15.543552070601681,0.10297096152781832,4.5
382,319.21097254992316,-15.170098334296203,0.12981058909629645,4.5
384,321.00835877255753,-14.306370614569365,0.11042302355034142,4.5
386,322.57526002884509,-13.068104690675371,0.065613563927240937,4.5
388,323.96817742215228,-11.633966247047237,0.032577186152318,4.5
390,325.26512032094053,-10.111776831393724,0.028808528081035206,4.5
392,326.47205637390618,-8.517702378352757,0.026762054203575806,4.5
394,327.59228926539333,-6.8608935412081395,0.00055985990341325318,4.5
396,328.71067507233482,-5.2028183960980563,-1.0103029524088648E-14,4.5
398,329.82906087927637,-3.5447432509879611,-0.026041004725852718,4.5
400,331.03091383687689,-1.94883434136913,-0.10335389544548136,4.5
402,332.53338585656866,-0.63486630024990576,-0.09148957156261496,4.5
404,334.25159029772834,0.38484699565369013,-0.063847680412983485,4.5
406,336.08642517657876,1.1778051987633824,-0.050854850936369468,4.5
408,337.99258751833128,1.7804743635185911,-0.045276756667830438,4.5
410,339.94543497460876,2.2083134982298827,-0.045584758667108968,4.5
412,341.92903701019696,2.4565883338896981,-0.051588581717358438,4.5
414,343.92751304215665,2.4992513009463044,-0.064635917314038338,4.5
416,345.91421986074988,2.2839916198492509,-0.086123018034494236,4.5
418,347.83289142520181,1.7319242536871762,-0.11177463415020493,4.5
420,349.57969613918607,0.76928154822497685,-0.12839403080853581,4.5
422,351.02529525690642,-0.60612352546529813,-0.082338869573179749,4.5
424,352.22837017248304,-2.2031470916530491,0.028743523992269482,4.5
426,353.52017220456935,-3.7272700767453708,0.083007641198571847,4.5
428,355.04590662990597,-5.0167942763617184,0.083255221051397835,4.5
430,356.76414172036812,-6.0355452419578635,0.083260147318619873,4.5
432,358.62737939710553,-6.7554026426873817,0.083262670829626781,4.5
434,360.58412610063789,-7.1564916857557446,0.083262790931193986,4.5
436,362.58031065358915,-7.2277298856426171,0.083260507592236022,4.5
438,364.56077293526533,-6.9671321627306595,0.043342535461209107,4.5
440,366.51291774765519,-6.5357677836335357,-0.064628183994279123,4.5
442,368.50348893743239,-6.3597290994641273,-0.071685192216778812,4.5
444,370.49876709567513,-6.4699135852897101,-0.071396320115747813,4.5
446,372.45797775469646,-6.8629008018763642,-0.07139902938910142,4.5
448,374.3412652607542,-7.5306757102269515,-0.071400992059054591,4.5
450,376.1103194107535,-8.4596387685152816,-0.071402207941133722,4.5
452,377.72915331299941,-9.6308823501664413,-0.058749057551731168,4.5
454,379.20048565851334,-10.984693808406858,0.052977857488544576,4.5
456,380.80515161460016,-12.174211593641811,0.083253126369125144,4.5
458,382.58484877611158,-13.081393855663846,0.083312892233612282,4.5
460,384.49048545677323,-13.680886399189552,0.083850045348311711,4.5
462,386.46944074359448,-13.953879808221883,0.083248745274439345,4.5
464,388.46612715141066,-13.89514276068163,0.082704451614065727,4.5
466,390.42598202934522,-13.508444659468278,0.045783915765073235,4.5
468,392.34448101418087,-12.943554644000432,-0.022681972059561489,4.5
470,394.28635949538193,-12.466310031718805,-0.036974653420488009,4.5
472,396.25783574273328,-12.133894759340723,-0.050379044855172431,4.5
474,398.25229175192089,-12.001494113859703,-0.028620745507269976,4.5
476,400.25212046853665,-11.983384022810261,0.022120680580103715,4.5
478,402.24905458534033,-11.876852431433658,0.025000212609974631,4.5
480,404.23816797480987,-11.670649010111516,0.025000221561142372,4.5
482,406.21448893868046,-11.365289226279421,0.025000230064921695,4.5
484,408.17307775577996,-10.961536380588674,0.025000238121358924,4.5
486,410.10903902827891,-10.460399698957456,0.025000245730386676,4.5
488,412.01753391715528,-9.863131809969591,0.025000252892076896,4.5
490,413.89379223628919,-9.1712256139258912,0.025000259606333803,4.5
492,415.73312437496452,-8.3864105513741602,0.025000265873267907,4.5
494,417.53093301897627,-7.5106482804436254,0.025047381098770371,4.5
496,419.28262934734477,-6.5459652579024485,0.027581250961409683,4.5
